,title,view_count,like_count,comment_count,published,duration,video_id
977,Barstool Pizza Review - Little Italy Pizzeria With Special Guest Dana White,1234210,14237,511,2020-3-3,207.0,z8AueqWjTuA
978,Barstool Pizza Review - Mama's Pizza,131783,1621,255,2020-3-3,176.0,OSeQfFLeP84
979,Barstool Pizza Review - Buchetta Brick Oven Pizza Presented By Frank's RedHot,82879,1578,265,2020-3-3,219.0,UWyCPg4008Q
980,Barstool Pizza Review - Broadway Pizza,38622,409,117,2020-3-3,120.0,SWdUx1305vk
981,"Barstool Pizza Review - The New Park Tavern (East Rutherford, NJ)",137369,1673,140,2020-3-3,182.0,HIXguC72lm8
982,Barstool Pizza Review - Bread & Tulips,61489,580,76,2020-3-3,164.0,BraLK2y6aJI
983,Barstool Pizza Review - Pizza Petes Presented By Frank's RedHot,43720,547,129,2020-3-3,140.0,V7awQpWxIzU
984,Barstool Pizza Review - Sfila Pizza With Special Guest Chris Harrison,316210,3332,260,2020-3-3,387.0,_aL6_cgqpDs
985,Barstool Pizza Review - Brooklyn Pizza Masters,316020,3818,285,2020-3-3,215.0,qO1nGyMpbGg
986,"Barstool Pizza Review - Kinchley's Tavern (Ramsey,NJ)",177551,2107,272,2020-3-3,231.0,-z8VJS4XwTE
987,Barstool Pizza Review - Pomodoro Ristorante With Special Guest Foodgod,452665,4071,1095,2020-3-3,536.0,PBtTHjLiWFE
988,Barstool Pizza Review - Pizza Alla Pala with Special Guests Tan and Antoni From Queer Eye,275882,4548,351,2020-3-3,445.0,f2ZoHDguz9I
989,"Barstool Pizza Review - Georgio's Pizza (Chicago,IL)",71152,848,153,2020-3-3,114.0,V_TWsb784QI
990,"Barstool Pizza Review - Rico's (Gary,Indiana)",73959,894,268,2020-3-3,232.0,tJ0AFAiWLKk
991,Barstool Pizza Review - Emporio,88606,1223,154,2020-3-3,200.0,8AV366JIn4o
992,Barstool Pizza Review - Gato With Special Guest Sophie Flay,545866,5307,914,2020-3-3,304.0,wsGvYbtbk6g
993,Barstool Pizza Review - Rosemary's Pizza,74623,1018,107,2020-3-3,145.0,HHzu0mOks08
994,"Barstool Pizza Review - Mama Mia's, Saratoga Springs (Bonus - The Riddler)",89612,1948,251,2020-3-3,253.0,TwTXEGdxuIk
995,PizzaReview-Caputos(Saratoga),61991,957,96,2020-3-3,163.0,yZsbffnGESM
996,Barstool Pizza Review - Marino's Pizza (Saratoga Springs),82203,981,84,2020-3-3,143.0,FswmrPAso6o
997,Barstool Pizza Review - Gennaro's Pizza Parlor (Saratoga Springs),147086,1637,226,2020-3-3,253.0,T6TluelCSLk
998,Barstool Pizza Review - Deli on Madison With Special Guest Andrew McCutchen,67610,1042,174,2020-3-3,490.0,E2u-Oic1YZA
999,Barstool Pizza Review - Naples 45 (Bonus Shimmy),36689,499,85,2020-3-3,156.0,YoY000z-XjQ
1000,Barstool Pizza Review - Leonelli,58117,806,116,2020-3-3,168.0,vWbB7iNdgBs
1001,Barstool Pizza Review - Freddie & Peppers,128605,1692,156,2020-3-3,201.0,pIH97gSRXks
1002,Barstool Pizza Review - Tre Giovani,130794,1452,109,2020-3-3,164.0,bfmHwEs_06w
1003,Barstool Pizza Review - Joe G Pizza & Restaurant,216259,2674,213,2020-3-3,264.0,LcswEWAitKw
1004,Barstool Pizza Review - Ciao Bella,34156,478,49,2020-3-3,89.0,oIYaGTJm2r4
1005,Barstool Pizza Review - Village Pizza,86372,746,101,2020-3-3,156.0,RUTDnGI5D0I
1006,Barstool Pizza Review - Not Ray's Pizza (Brooklyn),60333,817,109,2020-3-3,141.0,9xDbR-TCA30
1007,Barstool Pizza Review - Pequod's Pizza (Chicago),562917,4881,755,2020-3-3,255.0,r0QQJccpKBk
1008,Barstool Pizza Review - Lou Malnati's (Chicago),2642493,26463,2496,2020-3-3,405.0,qT69JB4avKk
1009,Barstool Pizza Review - Yosteria With Special Guest Bo Pelini,134944,1500,124,2020-3-3,316.0,WDLTFwu1dxU
1010,Barstool Pizza Review - Paisano's (Youngstown Italian Fest),50891,702,60,2020-3-3,120.0,HD0tDe7qFkQ
1011,Barstool Pizza Review - La Trattoria (Bonus Pizza Announcement),42257,743,83,2020-3-3,246.0,J2QTX_j7vNE
1012,Barstool Pizza Review - Primavera Pizza & Pasta (I'm Back),112736,1869,233,2020-3-3,225.0,KMLYw4CEmlE
1013,Barstool Pizza Review - Slice of Edgartown (Martha's Vineyard),50231,643,38,2020-3-3,162.0,I9ZZ81tSTnQ
1014,Barstool Pizza Review - Rocco's Pizzeria (Martha's Vineyard),138170,1387,122,2020-3-3,273.0,z6kP39dniT8
1015,Barstool Pizza Review - Isola (Martha's Vineyard),76604,1132,86,2020-3-3,184.0,V2YNaF4kkqQ
1016,"Barstool Pizza Review - Chilmark General Store, Martha's Vineyard (Bonus Art Gallery)",42613,592,74,2020-3-3,276.0,v0UySCI6aP4
1017,Barstool Pizza Review - Giordano's (Martha's Vineyard),73022,892,336,2020-3-3,207.0,UsuJNb4-Ktc
1018,Barstool Pizza Review - Fusaro's (Nantucket),35123,469,66,2020-3-3,160.0,HHbEVt7ILSU
1019,"Barstool Pizza Review - Baldie's Pizza & Subs (Lakeville,MA)",59315,713,89,2020-3-3,223.0,8HfHAPNYQnE
1020,PizzaReview-MotoPizza(SandwhichMA),47846,640,75,2020-3-3,206.0,VnTaDYGsLIQ
1021,"Barstool Pizza Review - Pizza Barbone (Hyannis,MA)",105881,1303,91,2020-3-3,250.0,C2vsp91cLgk
1022,"Barstool Pizza Review - Palio Pizzeria (Hyannis,MA)",228430,2744,204,2020-3-3,375.0,jgOtCLk1ISo
1023,"Barstool Pizza Review - Joey's Pizzeria (Dennis Port,MA)",87082,1243,108,2020-3-3,268.0,YPIrQ1JNK0Q
1024,Barstool Pizza Review - Sophie T's Pizza (Nantucket),74812,901,89,2020-3-3,229.0,_lTvxmXvEmc
1025,Barstool Pizza Review - Oath Pizza NYC (Bonus Chocolate Chip Cookie Review),276611,3152,272,2020-3-3,343.0,lHq5W7n4Qpg
1026,Barstool Double Pizza Review - Vinnie's Pizzeria and PQR with Special Guest Lauren Scala,336130,3465,325,2020-3-3,406.0,5sFgrXTp3E4
1027,Barstool Pizza Review - The Woodstock,57273,822,81,2020-3-3,210.0,6Ur9L8KX9pU
1028,Barstool Pizza Review - Simo Pizza,52454,789,101,2020-3-3,244.0,3gpZIGMiRbo
1029,Barstool Pizza Review - Bocce USQ,78017,1301,109,2020-3-3,206.0,CJlCwORYnxU
1030,Barstool Pizza Review - Black Square Pizza,122415,1482,99,2020-3-3,233.0,P8AFkRu3Hj4
